馬 主席	2887
表示 ，	2585
， 但	2244
， 國民黨	2226
， 這	2212
」 ，	1827
， 他	1794
， 也	1502
， 我們	1385
強調 ，	1343
$ 馬	1255
， 讓	1178
， 在	1155
指出 ，	1128
說 ，	1120
新聞稿 中國國民黨	1101
文化 傳播	1088
中國國民黨 文化	1082
傳播 委員會	1077
， 並	1048
中 常會	991
， 民進黨	943
蔡 英文	942
這 是	783
， 馬	781
， 我	779
金 秘書長	754
的 ，	749
， 希望	733
， 而	721
後 ，	711
， 「	710
本 黨	688
$ 他	687
這 次	678
， 以	672
$ 國民黨	670
」 的	664
， 因為	655
時 ，	653
， 台灣	649
馬 總統	632
台灣 的	630
」 。	611
， 對	607
這 個	604
， 是	602
問題 ，	576
， 所以	569
都 是	557
各 位	553
， 就	539
大 的	512
會 主委	509
， 為	506
， 如果	506
民 調	498
$ 吳伯雄	497
， 大家	494
了 ，	493
為 了	492
也 是	484
中 常委	481
人 ，	478
兩岸 關係	477
中 ，	450
傳 會	443
文 傳	443
， 將	441
黨 的	437
重要 的	433
， 有	428
主席 表示	413
的 問題	412
， 更	409
上 ，	403
一定 要	402
， 都	393
下 ，	392
黨 內	389
， 因此	387
的 「	384
， 政府	381
， 兩岸	377
國民黨 的	377
這樣 的	376
的 人	373
， 就是	364
這 種	362
年 ，	361
吳 主席	359
， 包括	358
的 是	357
補 選	357
選舉 ，	355
， 現在	350
我們 的	344
， 不	340
， 要	339
認為 ，	334
兩岸 經濟	328
陳 總統	327
， 黨	327
， 對於	326
， 未來	325
事 ，	318
黨 產	315
民進黨 執政	310
最 大	310
元 ，	303
新聞稿 新聞稿	301
」 、	297
$ 對於	297
主席 強調	296
一定 會	295
民進黨 的	295
$ 這	292
$ 金	290
$ 李建榮	289
國民 黨主席	287
、 「	287
工作 ，	286
的 一	283
政策 ，	283
的 時候	275
此外 ，	271
一 年	271
是 「	268
說明 ，	266
國民黨 發言人	265
主席 ：	265
他 強調	264
提到 ，	263
， 以及	263
， 從	263
的 。	262
國民黨 文	261
人民 的	260
對 台灣	260
黨 中央	258
案 ，	257
$ 我們	257
， 一	256
發展 ，	256
年 的	256
， 一定	251
八 年	251
， 尤其	249
好 ，	249
， 而是	249
更 多	247
莊 伯仲	247
關係 ，	245
年 前	243
， 不要	241
， 相信	241
$ 賴素如	240
在 這	240
經濟 協議	239
一 次	238
， 蔡	238
$ 我	237
委 會	235
的 政策	235
令 人	234
主席 指出	234
嗎 ？	234
的 情況	234
國民黨 執政	233
中國國民黨 主席	232
之後 ，	232
選 情	232
， 沒有	231
， 還	230
四 年	230
他 的	230
， 同時	227
好 的	226
的 支持	226
， 而且	223
因此 ，	223
的 選舉	223
， 與	223
） 日	222
都 有	221
也 要	219
讓 台灣	218
公 投	215
國民黨 中	214
選舉 的	214
% ，	214
特別 費	214
主席 說	213
， 目前	212
大家 都	211
努力 ，	209
是 一個	209
支持 ，	209
不 分區	207
$ 至於	207
$ 在	207
廉 能	206
台灣 人民	206
做 的	205
的 候選人	205
的 經濟	205
的 發展	204
， 再	204
過程 中	204
$ 此外	203
， 這樣	202
執政 ，	202
， 由	202
選 戰	201
立委 補	200
很 大	200
， 吳伯雄	200
$ 」	199
， 這些	199
一 步	198
， 請	198
， 雖然	198
抹 黑	198
方面 ，	197
者 ，	197
的 政黨	197
也 有	196
蘇 主委	196
時候 ，	195
也 會	194
， 中國國民黨	194
， 甚至	193
對 此	193
， 當時	193
機 制	192
外 ，	191
， 金	191
新 北	188
發展 的	188
參選 人	187
等 ，	186
主委 李建榮	185
的 努力	185
多 的	185
、 有	184
他 說	184
， 本	183
國 親	183
候選人 ，	183
， 每	183
吳伯雄 表示	182
機會 ，	182
自己 的	182
， 今年	181
， 把	181
$ 陳以信	180
支持 者	180
， 此	180
媒體 報導	179
意見 ，	179
是 非常	178
主席 也	178
改革 ，	178
是 在	177
希望 大家	177
的 工作	176
人 的	176
北 市	175
三 年	174
以 「	174
， 各	174
台北 市長	173
十 年	172
是 我們	172
就 會	172
他 在	171
他 也	171
事實 上	171
， 過去	170
我們 也	170
年 多	170
郝 市長	170
， 會	169
， 若	169
， 且	168
， 去年	168
台灣 ，	167
多 ，	167
國 人	166
政府 的	166
合作 ，	165
李建榮 表示	165
， 只要	164
一 事	164
是 國民黨	164
的 立場	163
活動 ，	163
勝 選	163
國民黨 在	162
， 她	161
民進黨 主席	161
總統 的	161
選 ，	161
的 事	160
這 項	160
的 態度	159
的 方式	159
兩岸 和平	159
$ 但	159
提名 的	158
， 可以	158
協議 ，	157
兩 黨	157
， 才	156
， 但是	156
黨 代表	155
， 到	155
報告 ，	154
$ 而	154
$ 民進黨	154
才 是	153
、 各	153
共識 ，	153
的 地方	153
秘書長 金溥聰	153
國民黨 秘書長	152
主席 馬英九	151
秘書長 表示	151
， 應	150
是 台灣	150
黨主席 吳伯雄	150
， 例如	149
的 改革	149
的 機會	149
文 宣	149
執政 後	149
、 不	148
， 馬英九	148
針對 民進黨	148
％ ，	148
兩岸 經貿	148
， 今天	147
原則 ，	147
， 卻	147
非常 重要	146
弊 案	146
在 台灣	146
重新 執政	145
中國 大陸	144
還 要	144
來 台	144
和平 發展	143
總統 ，	143
報導 ，	143
最 重要	143
黨主席 馬英九	143
$ 莊	143
$ 吳	143
， 應該	142
問題 。	142
關係 的	142
一 點	142
的 方向	142
如下 ：	141
， 不是	141
更 好	141
規定 ，	141
也 希望	141
會 有	141
的 目標	140
九二 共識	140
五都 選舉	140
台 中	139
， 才能	139
常會 今天	139
尤其 是	138
不 夠	138
我們 要	138
台灣 經濟	138
， 他們	138
蔡 主席	138
未來 的	138
對 外	137
政黨 ，	137
， 雙方	137
次 選舉	136
的 時間	136
方式 ，	136
的 政治	136
一 、	135
之 一	135
了 。	135
總統 大選	134
的 國家	134
中 的	133
全 黨	133
「 台灣	133
選 風	133
前 ，	133
整 個	133
團結 ，	133
常會 通過	133
親 民黨	132
同志 ，	132
縣 市長	132
為 台灣	131
直 航	131
， 否則	131
主席 蔡	131
時 表示	131
來 ，	131
孫中山 先生	131
票 ，	130
時間 ，	130
都 能	130
就 要	129
更 是	129
並 非	128
是 ，	127
， 令	127
主席 吳伯雄	126
的 重要	126
二 、	126
致詞 時	126
議題 ，	126
是 為	126
新 的	125
提出 的	125
執政 的	125
結果 ，	125
各 項	125
， 已	125
自由 時報	125
投票 ，	124
， 那	124
的 兩岸	124
今 （	124
， 國民	124
， 使	124
做 了	124
事實 ，	124
目標 ，	123
上 的	123
次 的	123
修 法	122
制 ，	121
民進黨 ，	121
的 期待	121
的 說法	121
做 ，	120
馬英九 今天	120
要 有	120
是 民進黨	120
也 不	120
「 不	120
兩 年	120
會議 ，	120
吳榮譽 主席	120
的 原則	119
重要 ，	119
的 關係	119
市長 ，	119
， 共同	119
也 將	118
農 委	118
兩 個	118
責任 ，	117
民眾 的	117
期間 ，	117
： 「	117
這 段	117
， 兩	117
名 ，	117
考 紀	116
廖 秘書長	116
會 中	116
呼籲 民進黨	116
國民黨 提名	116
協商 ，	116
各 種	115
立場 ，	115
讓 我們	115
經濟 合作	115
一樣 ，	115
今天 上午	115
第一 次	115
的 結果	115
在 立法院	115
對 國民黨	115
看 ，	115
最好 的	115
支持 。	115
說 是	115
才 有	114
共識 」	114
， 只	114
的 選	114
市長 候選人	113
， 第一	113
也 都	113
開始 ，	113
後 的	113
市長 選舉	113
金融 海嘯	113
希望 能	113
失業 率	113
代表 大會	113
罷免 案	113
的 意見	113
立委 選舉	111
質疑 ，	111
$ 蘇俊賓	111
， 絕對	111
國家 的	111
都 沒有	111
都 不	111
但 他	111
要 讓	110
讓 他	110
這 兩	110
是 很	110
的 表現	109
事件 ，	109
地方 ，	109
情況 下	109
都 在	109
國民黨 也	108
說 「	108
， 其中	108
成果 ，	108
個 月	108
的 過程	108
的 事情	108
主委 蘇俊賓	107
， 該	107
他 表示	107
改革 的	107
， 除了	107
社會 的	107
每 年	107
常會 中	107
$ （	106
這 也	106
的 決心	106
大陸 的	106
三 、	106
胡 市長	106
願 景	106
檢討 ，	106
中選 會	106
調 ，	106
行政 部門	105
這 就是	105
， 當	105
今天 表示	105
就是 要	105
造 勢	105
紀 會	105
的 責任	105
這 一	105
， 高雄	105
經濟 發展	104
$ 馬英九	104
戰 ，	104
主席 的	104
化 ，	104
的 基礎	104
國民黨 ，	104
$ 黃玉振	104
黨籍 立委	104
是 一	103
是 要	103
， 最	103
才 會	102
， 陳	102
大 台南	102
的 精神	102
有 信心	102
秘書長 ：	102
對 人民	102
能 在	102
部分 ，	102
雙 贏	102
正確 的	102
就 可以	102
高雄 市長	102
總 書記	102
， 又	101
他們 的	101
， 只有	101
全力 支持	101
馬 政府	101
馬英九 主席	101
大 ，	101
執政 團隊	101
泛 藍	101
力量 ，	100
， 最後	100
「 中華民國	100
$ 因此	100
以來 ，	100
」 等	99
多 位	99
桃園 縣	99
他 認為	98
我 也	98
的 社會	98
有 機會	98
$ 對	98
英 九	98
的 力量	98
決定 ，	98
， 能	97
， 大陸	97
有 很	97
兩 會	97
主席 在	97
信心 ，	97
呢 ？	96
高 ，	96
有 一	96
的 民	96
我們 在	96
$ 所以	96
經貿 文化	96
清廉 、	96
溝通 ，	96
是 有	96
」 ；	96
就是 「	96
此 ，	95
並 沒有	95
$ 二	95
通過 ，	95
同時 也	95
事情 ，	95
清楚 ，	95
部份 ，	95
全 文	95
國 共	95
， 一個	95
文化 論壇	94
的 黨	94
將 於	94
主席 並	94
肯定 ，	94
兩 人	94
讓 人	94
， 不會	94
， 針對	94
的 成果	93
精神 ，	93
， 國	93
的 未來	93
法案 ，	93
處理 ，	93
主席 提到	93
我 要	93
， 不能	93
之 意	93
負 面	93
賴素如 表示	92
的 角色	92
他 並	92
是 因為	92
國民黨 對	92
必 須要	92
但 也	92
第 18	92
的 大	92
分區 立委	91
也 沒有	91
， 事實	91
不 好	91
批評 ，	91
都 要	91
段 時間	91
國家 ，	91
的 立委	91
$ 今天	91
各 地	91
有 更	90
措施 ，	90
一 項	90
改變 ，	90
兩岸 的	90
， 即	90
發 會	90
行動 中	90
在 中	90
增加 ，	90
， 中	90
$ 吳敦義	90
， 不但	89
的 歷史	89
次 ，	89
百 年	89
縣 市黨部	89
之下 ，	89
發言人 賴素如	89
組 發	89
$ 三	89
多 年	89
但 我們	89
， 向	89
， 已經	89
我 在	89
， 一方面	89
， 人民	89
的 總統	89
吳伯雄 今天	89
了解 ，	88
今天 在	88
多 人	88
會 在	88
消費 券	88
這 點	88
民進黨 在	88
國民黨 是	88
買 票	88
， 其	88
社會 大眾	88
人 都	88
蘇俊賓 表示	88
檢 調	88
的 部份	88
同時 ，	87
， 不論	87
副 秘書長	87
就 有	87
英文 主席	87
來 看	87
， 增加	87
國民黨 將	87
法 ，	86
情況 ，	86
只 會	86
「 九二	86
參選 ，	86
討論 ，	85
的 作法	85
； 他	85
走 向	85
每 一	85
多 來	85
在 兩岸	85
競選 總部	85
國民黨 要	85
天 ，	85
主席 致詞	85
台灣 在	84
） ，	84
的 中	84
更 有	84
的 民主	84
常會 新聞稿	84
報告 後	84
不 應	84
， 還有	84
應該 要	84
上任 後	84
利益 ，	84
將 會	84
黨部 主委	84
大會 ，	84
人民 有利	84
空間 ，	83
次 會議	83
在 地	83
中國國民黨 文	83
， 很	83
讓 民眾	83
， 立法院	83
兩岸 人民	83
兩岸 政策	83
等 人	83
吳 院長	83
$ 如果	83
說法 ，	83
$ 台灣	83
此 次	83
問 ：	83
努力 。	82
過 ，	82
不 只是	82
， 陳水扁	82
， 還是	82
「 以	82
經濟 成長	82
， 來	82
期待 ，	82
很 重要	82
永 續	81
， 儘管	81
工作 。	81
方向 ，	81
每 個	81
幾 個	81
， 顯示	81
： 一	81
負責任 的	81
政治 人物	81
宋 主席	81
與 民進黨	81
， 很多	81
中華民國 的	80
， 亦	80
黨 提名	80
， 爭取	80
的 台灣	80
反 貪腐	80
態度 ，	80
對 我們	80
到 了	80
經驗 ，	80
但 國民黨	80
他 呼籲	80
， 有關	80
答 ：	80
成功 ，	80
吳伯雄 強調	80
執政 時	80
是 他	80
的 要求	79
， 吳	79
不要 再	79
發展 。	79
在 此	79
讓 大家	79
三合 一	79
$ 答	79
